"barrier_id","internal_name","watershed_group_code","structure_type","assessment_type_completed","next_steps","notes","supporting_links"
"1004606751",NULL,"ELKR","Other","Informal assessment","Barrier assessment (data deficient structures only)","Determine fish values",NULL
"197520",NULL,"ELKR","Stream crossing - CBS","Barrier assessment","Engage with partners","Nice quality stream, EB and WCT captured upstream",NULL
"197526","Trib to Elk R @ Elk R Main FSR ","ELKR","Stream crossing - CBS","Barrier assessment","Engage with partners",NULL,"http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198426"
"197537",NULL,"ELKR","Stream crossing - CBS","Barrier assessment","Engage with partners","EB known upstream and downstream","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198437"
"197538",NULL,"ELKR","Stream crossing - CBS","Barrier assessment","Engage with partners",NULL,"http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198438"
"197553","Lowe Cr @ Elk R Main FSR","ELKR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","Dredging 75 m upstream and downstream of crossing, braiding downstream of dredging, indicating crossing is undersized for debris flows","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198453"
"197555","Trib to Elk R @ Elk R Main FSR","ELKR","Stream crossing - CBS","Habitat confirmation","Engage with partners","Large amount of fill overhead. Electrofishing yielded 1 Bull Trout. Culvert fully perched and is a full barrier","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=1361"
"197564",NULL,"ELKR","Stream crossing - CBS","Barrier assessment",NULL,NULL,"http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198464"
"197565",NULL,"ELKR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)",NULL,"http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198420"
"197570",NULL,"ELKR","Stream crossing - CBS","Barrier assessment","Engage with partners","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198470"
"197571",NULL,"ELKR","Stream crossing - CBS","Barrier assessment","Engage with partners",NULL,"http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198471"
"197572",NULL,"ELKR","Stream crossing - CBS","Barrier assessment","Engage with partners",NULL,NULL
"197573",NULL,"ELKR","Stream crossing - CBS","Barrier assessment",NULL,NULL,"http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198473"
"197578","1004602349","ELKR","Stream crossing - CBS","Habitat confirmation","Engage with partners","Likely would be partially passable if creek wasn't flowing beneath culvert","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=201316"
