"barrier_id","internal_name","watershed_group_code","structure_type","reason_for_exclusion","reason","supporting_links"
"197847","1004600533","ELKR","Stream crossing - Ford","Passable","No structure","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198867"
"197527","1004605697","ELKR","Stream crossing - CBS","No key upstream habitat","Low quality habitat, confirmed with Working Group","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198427"
"197821","1004606545","ELKR","Stream crossing - Ford","Passable","Ford","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198841"
"1004606284",NULL,NULL,"Stream crossing - Ford","Passable","Ford",NULL
"197793","1004606347","ELKR","Stream crossing - CBS","No key upstream habitat","Low quality habitat. Winter habitat assessments revealed low habitat values. Dewatered in summer and winter. No sutiable habitat to support most life stages.","https://www.newgraphenvironment.com/fish_passage_elk_2021_reporting/appendix---197793---bean-creek.html Also see: VAST. 2023. Elk River Westslope Cutthroat Trout passage and habitat investigations. Prepared for Canadian Wildlife Federation by VAST Resource Solutions Inc., Cranbrook, B.C."
"197867","1004606347","ELKR","Stream crossing - Ford","Passable","Ford","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198887"
"197797","1004606926","ELKR","Stream crossing - Ford","Passable","Ford","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198817"
"1004603793",NULL,NULL,"None","No structure","Crossing removed",NULL
"197782","1004602359","ELKR","Stream crossing - OBS","Passable","Collapsed bridge but not blocking flows","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198802"
"197794","1004603480","ELKR","Stream crossing - OBS","Passable","Bridge","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198814"
"197789","1004603791",NULL,"Other","No structure","Bridge has been removed","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198809"
"197792","1004605499","ELKR","Stream crossing - OBS","Passable","Bridge","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198812"
"197783","1004605937","ELKR","Stream crossing - CBS","No key upstream habitat","Low quality habitat","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198803"
"197785","1004606129","ELKR","Stream crossing - CBS","No key upstream habitat","No channel","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198805"
"197861","1004602646",NULL,"None","No structure","No crossing","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198881"
"1004605338",NULL,NULL,"None","No structure and key upstream habitat","No crossing, no channel",NULL
"1024735443",NULL,NULL,"None","No structure","No crossing",NULL
