"aggregated_crossings_id","barrier_id","internal_name","crossing_source","crossing_feature_type","crossing_type_code","barrier_status","transport_line_structured_name_1","rail_track_name","blue_line_key","watercourse_name","road_name","structure_type","structure_owner","private_owner_details","structure_list_status","assessment_type_completed","reason_for_exclusion","method_of_exclusion","partial_passability","partial_passability_notes","upstream_habitat_quality","constructability","estimated_cost_$","priority","type_of_rehabilitation","rehabilitated_by","rehabilitated_date","estimated_rehabilitation_cost_$","actual_project_cost_$","next_steps","timeline_for_next_steps","lead_for_next_steps","others_involved_in_next_steps","reason","notes","supporting_links","modelled_crossing_id","pscis_status","crossing_subtype_code","pscis_road_name","pscis_stream_name","pscis_assessment_comment","pscis_assessment_date","dam_name","dam_height","dam_owner","dam_use","dam_operating_status","utm_zone","utm_easting","utm_northing","downstream_route_measure","wscode","localcode","watershed_group_code","gnis_stream_name","barriers_anthropogenic_dnstr","barriers_anthropogenic_dnstr_count","barriers_anthropogenic_habitat_wcrp_upstr","barriers_anthropogenic_habitat_wcrp_upstr_count","barriers_ch_cm_co_pk_sk_dnstr","barriers_st_dnstr","barriers_wct_dnstr","ch_spawning_km","ch_rearing_km","ch_spawning_belowupstrbarriers_km","ch_rearing_belowupstrbarriers_km","cm_spawning_km","cm_spawning_belowupstrbarriers_km","co_spawning_km","co_rearing_km","co_rearing_ha","co_spawning_belowupstrbarriers_km","co_rearing_belowupstrbarriers_km","co_rearing_belowupstrbarriers_ha","pk_spawning_km","pk_spawning_belowupstrbarriers_km","sk_spawning_km","sk_rearing_km","sk_rearing_ha","sk_spawning_belowupstrbarriers_km","sk_rearing_belowupstrbarriers_km","sk_rearing_belowupstrbarriers_ha","st_spawning_km","st_rearing_km","st_spawning_belowupstrbarriers_km","st_rearing_belowupstrbarriers_km","wct_spawning_km","wct_rearing_km","wct_spawning_belowupstrbarriers_km","wct_rearing_belowupstrbarriers_km","all_spawning_km","all_spawning_belowupstrbarriers_km","all_rearing_km","all_rearing_belowupstrbarriers_km","all_spawningrearing_km","all_spawningrearing_belowupstrbarriers_km","set_id","total_hab_gain_set","num_barriers_set","avg_gain_per_barrier","dnstr_set_ids","rank_avg_gain_per_barrier","rank_avg_gain_tiered","rank_total_upstr_hab","rank_combined","tier_combined","label_in_wcrp","elko_region","geom"
"1004601731","1004601731","N Lodgepole Cr @ Lodgepole FSR - Flathead Ridge","MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL",NULL,NULL,356564133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4601731,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,658512,5465012,"7602.730764665","300.625474.584724.074830.184942.717308","300.625474.584724.074830.184942.717308.721566","ELKR","North Lodgepole Creek",NULL,0,"1024747002",1,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.39099912068367","0","1.39099912068367","0","0","1.39","1.39","1.39","1.39","152","1.39",1,"1.39000000000000000000",NULL,"3","3","4","3","A","yes","below_elko","01010000E0BD0B0000B2C121D8499F3B4145525CE65C8A2041C9241CB303959E403FA16413BBB2BD40"
"1004602683","1004602683","Trib to Lodgepole Cr @ S Lodgepole spur","MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL",NULL,NULL,356551813,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4602683,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,658878,5458649,"2713.39674832928","300.625474.584724.074830.184942.587579","300.625474.584724.074830.184942.587579.346921","ELKR",NULL,"1004603632",1,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.13000004487612","0","1.13","0","0","1.13","1.13","1.13","1.13","302","1.34",2,"0.67000000000000000000",NULL,"7","7","5","6","A","yes","below_elko","01010000E0BD0B0000FF8DE642E7A33B41C7B89C2E79592041CD56187A0F55964000D69822CB32A540"
"1004603497",NULL,NULL,"MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL",NULL,NULL,356479891,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4603497,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,647552,5450406,"141.886567301962","300.625474.584724.074830.411859","300.625474.584724.074830.411859","ELKR",NULL,NULL,0,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.599000731391173","0","0.48","0","0","0.6","0.48","0.6","0.48","2252","0.48",1,"0.48000000000000000000",NULL,"10","11","8","9","A","yes","below_elko","01010000E0BD0B0000C3F9559A1E7C3B418C5B3CFB420E2041000000000044914027F463C25EBC6140"
"1004603498","1004603498","Trib to Wigwam R @ Tower FSR spur","MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL",NULL,NULL,356536376,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4603498,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,647799,5450192,"57.6194782301885","300.625474.584724.074830.421290","300.625474.584724.074830.421290","ELKR",NULL,NULL,0,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.564999683850494","0","0.564999683850494","0","0","0.56","0.56","0.56","0.56","602","0.56",1,"0.56000000000000000000",NULL,"8","8","9","8","A","yes","below_elko","01010000E0BD0B0000333243632F7D3B419FDB257BDA0C2041A3C5FAC2295091402D9F09104BCF4C40"
"1004603632","1004603632","Trib to Lodgepole Cr @ S Lodgepole spur","MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL",NULL,NULL,356551813,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4603632,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,658853,5458843,"2508.06439274593","300.625474.584724.074830.184942.587579","300.625474.584724.074830.184942.587579.320879","ELKR",NULL,NULL,0,"1004602683",1,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.052940484809768","1.33500069435308","0.05","0.21","0.05","0.05","1.34","0.21","1.34","0.21","302","1.34",2,"0.67000000000000000000",NULL,"7","7","5","6","A","yes","below_elko","01010000E0BD0B0000583C3D7BB5A33B41FB231A33F35A20416EE898099C1E9640BD0316F82098A340"
"1004605528","1004605528","Trib to Wigwam R @ Cabin Cr FSR","MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL","Wigwam FSR",NULL,356495597,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4605528,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,649895,5455640,"683.054338743454","300.625474.584724.074830.286851","300.625474.584724.074830.286851","ELKR",NULL,NULL,0,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.86799949037641","0.86799949037641","0.87","0.87","0.87","0.87","0.87","0.87","0.87","0.87","902","0.87",1,"0.87000000000000000000",NULL,"5","5","6","5","A","yes","below_elko","01010000E0BD0B00002964166E94823B4119846CC8223920416CA857E89F99914053B026496F588540"
"1004605549","1004605549","Trib to Bighorn Cr @ Cabin Cr FSR","MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","CBS","POTENTIAL","Cabin FSR",NULL,356553221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4605549,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,652459,5452368,"181.437366963644","300.625474.584724.074830.438900.239603","300.625474.584724.074830.438900.239603","ELKR",NULL,NULL,0,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0239999999998923","0","0.0239999999998923","0","0","0.02","0.02","0.02","0.02","1052","0.02",1,"0.02000000000000000000",NULL,"14","14","14","13","B","yes","below_elko","01010000E0BD0B0000939CA8402A8E3B41795CC77F63222041425B01A06FAD924075A600E9FEAD6640"
"1004605941",NULL,NULL,"MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","OBS","PASSABLE",NULL,NULL,356546176,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4605941,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,653615,5452349,"646.929507812472","300.625474.584724.074830.438900.270548","300.625474.584724.074830.438900.270548","ELKR",NULL,NULL,0,NULL,NULL,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.133862765156912","0","0.133862765156912","0","0","0.13","0.13","0.13","0.13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"no","below_elko","01010000E0BD0B000091FB0BACA8923B41BB5FC7286723204187780724596393408DBFCAA16F378440"
"1004606377",NULL,NULL,"MODELLED CROSSINGS","ROAD, RESOURCE/OTHER","OBS","PASSABLE","Lodgepole Creek FSR",NULL,356564133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4606377,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,661779,5462461,"815.725327304637","300.625474.584724.074830.184942.717308","300.625474.584724.074830.184942.717308.087030","ELKR","North Lodgepole Creek",NULL,0,"1004601731;1024747002",2,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.988096404111151","6.35235074129232","0.99","4.96","0.99","0.99","6.35","6.35","6.35","6.35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"no","below_elko","01010000E0BD0B0000DB94A84B3CAD3B41EF69AE43E879204120B2D165183B96407EE26678CD7D8940"
"1024706500",NULL,NULL,"MODELLED CROSSINGS","ROAD, DEMOGRAPHIC","OBS","PASSABLE","Elk River Bridge",NULL,356570562,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24706500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,633532,5449051,"5839.39337816949","300.625474.584724","300.625474.584724","ELKR","Elk River",NULL,0,"1004600013;1004600015;1004600018;1004600019;1004600022;1004600025;1004600041;1004600042;1004600044;1004600045;1004600051;1004600054;1004600084;1004600085;1004600086;1004600115;1004600118;1004600120;1004600126;1004600129;1004600131;1004600132;1004600135;1004600143;1004600156;1004600159;1004600160;1004600174;1004600176;1004600189;1004600195;1004600227;1004600317;1004600320;1004600323;1004600326;1004600327;1004600328;1004600342;1004600346;1004600350;1004600352;1004600378;1004600380;1004600381;1004600433;1004600434;1004600435;1004600436;1004600438;1004600440;1004600441;1004600442;1004600451;1004600452;1004600457;1004600470;1004600508;1004600588;1004600594;1004600666;1004600699;1004600715;1004600735;1004600736;1004600739;1004600758;1004600835;1004600851;1004600945;1004600956;1004601090;1004601099;1004601125;1004601193;1004601225;1004601251;1004601285;1004601374;1004601393;1004601403;1004601457;1004601519;1004601583;1004601603;1004601731;1004601754;1004601755;1004601757;1004601761;1004601762;1004601913;1004602074;1004602161;1004602170;1004602197;1004602198;1004602324;1004602341;1004602344;1004602419;1004602454;1004602683;1004602949;1004602958;1004602974;1004603040;1004603194;1004603242;1004603244;1004603263;1004603285;1004603316;1004603413;1004603451;1004603497;1004603498;1004603632;1004603948;1004603990;1004604003;1004604004;1004604005;1004604006;1004604012;1004604016;1004604060;1004604062;1004604098;1004604105;1004604114;1004604116;1004604117;1004604121;1004604147;1004604202;1004604205;1004604206;1004604208;1004604237;1004604257;1004604422;1004604442;1004604461;1004604469;1004604481;1004604566;1004604611;1004604674;1004604943;1004605000;1004605053;1004605096;1004605107;1004605197;1004605375;1004605430;1004605528;1004605549;1004605556;1004605606;1004605629;1004605651;1004605688;1004605839;1004605941;1004606108;1004606266;1004606284;1004606581;1004606675;1004606677;1004606678;1004606705;1004606710;1004606718;1004606721;1004606732;1004606741;1004606751;1004606781;1004606785;1004606788;1004606794;1004606800;1004606802;1004606808;1004606815;1004606818;1004606821;1004606824;1004606831;1004606908;1004606918;1004606929;1004607003;1004607028;1004607029;1004607409;1004607470;1004607522;1004607575;1004607598;1024706649;1024733652;1024734106;1024734150;1024734179;1024734206;1024734248;1024734250;1024734251;1024734255;1024734256;1024734259;1024734509;1024734526;1024734735;1024734736;1024734737;1024734738;1024734739;1024734740;1024734741;1024734755;1024734756;1024734829;1024734830;1024734942;1024735050;1024735335;1024747002;1024747094;1024752563;1024752650;1024754325;1024754900;1024760703;1024760705;103033;11e03b9a-0a3f-4022-b534-7e3de9eece2e;13635d39-ee0f-4d0c-bb9c-9649ac9a5c63;197520;197526;197527;197533;197534;197542;197553;197554;197555;197559;197565;197570;197571;197572;197578;197579;197580;197581;197583;197783;197785;197786;197787;197793;197825;197827;197828;197842;197843;197844;197845;199903;199904;199906;50152;50153;50175;50181;50185;50254;50255;50276;50277;60c42164-042e-492f-8ae0-31413e16f87e;61608;62167;62181;62182;62271;62413;62416;62423;84b62416-5a21-4c6c-925c-86db9cb2106b;98a6d14e-ea75-446a-80e5-8709bf2eb8e9;ad12484a-f905-460d-a7ec-509f7fd6c892;ca143804-45bf-42da-90a4-16a6498d60a7;da28f1e5-4fb1-43cd-ac85-123d6735677e;da63680c-0ffd-447a-941b-d59e42c0fa8b;e86b513c-3dce-4b4a-a49e-e86e4dac935e",301,NULL,NULL,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","904.88767064464","1074.93259935752","168.85","202.03","904.89","904.89","1074.93","1074.93","1169.13","1169.13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"no","below_elko","01010000E0BD0B0000E556DC696C463B4137952F9E58EB1F4100B8F3FDD4808740EB846EB464CFB640"
