Name,Organization,Member Status
Betty Rebellato,Canadian Wildlife Federation,Present
David Hillary,Canadian Wildlife Federation,Past
Justin Duncan,Canadian Wildlife Federation,Past
Nick Mazany-Wright,Canadian Wildlife Federation,Present
Nicolas Lapointe,Canadian Wildlife Federation,Present
Sarah Sra,Canadian Wildlife Federation,Present
Simon Norris,Hillcrest Geographics,Present
Kristin Singer,Department of Fisheries and Oceans Canada,Present
Marlena McCabe,Department of Fisheries and Oceans Canada,Past
Quinn Anderson,Department of Fisheries and Oceans Canada,Past
Chad Hughes,Elk River Alliance,Present
Joshua Noseworthy,Global Conservation Solutions,Past
Camille Des Rosiers-Ste.Marie,Jon Bisset and Associates,Present
Jon Bisset,Jon Bisset and Associates,Present
John Bransfield,LOTIC Environmental,Present
Mike Robinson,LOTIC Environmental,Present
Herb Tepper,"Ministry of Forests, Lands, Natural Resource Operations & Rural Development",Past
Bill Arling,North Coal,Present
Patty Vadnais,North Coal,Past
Dave Baines,NWP Coal Canada Ltd.,Present
Mindy Sheer,Sheer Ecology,Present
John Huryn,Sparwood & District Fish and Wildlife Association,Present
Lindsay Watson,Teck Resources,Present
Warn Franklin,Teck Resources,Present
Jason Gravelle,Yaq̓it ʔa·knuqⱡi'it First Nation,Present
Myra Juckers,Yaq̓it ʔa·knuqⱡi'it First Nation,Past
Allie Ferguson,Yaq̓it ʔa·knuqⱡi'it First Nation,Present
Randal McNair,Wildsight BC,Present
Wyatt Petryshen,Wildsight BC,Present
