"barrier_id","internal_name","watershed_group_code","structure_owner","structure_type","partial_passability","partial_passability_notes","num_barriers_set","all_spawningrearing_belowupstrbarriers_km","next_steps"
"1004602974","Grace Cr @ Line Rd (4602947)","ELKR","CanWel Forest Products","Stream crossing - CBS","Unknown",NULL,1,"3.24","Engage with barrier owner"
"13635d39-ee0f-4d0c-bb9c-9649ac9a5c63","Harmer Cr Dam (1100001086)","ELKR","Teck","Dam","No",NULL,1,"5.47","Rehabilitation"
"197533","Brule Cr @ Busato Rd","ELKR","MOTI","Stream crossing - CBS","No",NULL,2,"0.13","Commission engineering designs"
"197534","Weigert Cr @ Hwy 43","ELKR","MOTI","Stream crossing - CBS","Yes","Proportion of individuals",1,"10.32","Commission engineering designs"
"197542","Hartley Cr @ Dicken Rd","ELKR","MOTI","Stream crossing - CBS","Unknown",NULL,3,"0.01","Rehabilitation"
"197559","Brule Creek @ Hwy 43","ELKR","MOTI","Stream crossing - CBS","No",NULL,2,"21.56","Commission engineering designs"
"197825","Henretta Cr @ unnamed","ELKR","Teck","Stream crossing - CBS","Unknown",NULL,1,"10","Commission engineering designs"
"197827","Fording R @ FRO Coal Haul Rd (4600762)","ELKR","Teck","Stream crossing - CBS","Unknown",NULL,1,"21.01","Rehabilitation"
"50152","Stove Creek","ELKR","BC Parks","Stream crossing - CBS","No",NULL,1,"0.36","Fundraise"
"50185","Trib to Morrissey Cr @ River Rd","ELKR","CanFor","Stream crossing - CBS","Yes","Proportion of individuals",1,"2.89","Engage with barrier owner"
"62181","Dry Cr @ Railway","ELKR","CP Rail","Stream crossing - CBS","Unknown","Other (see notes)",2,"4.53","Rehabilitation"
"62182","Dry Cr @ Fording Hwy","ELKR","MOTI","Stream crossing - CBS","Unknown",NULL,2,"0.03","Rehabilitation"
"62416",NULL,"ELKR","CanWel Forest Products","Stream crossing - CBS","Unknown",NULL,1,"0.98","Commission engineering designs"
"98a6d14e-ea75-446a-80e5-8709bf2eb8e9","Hartley Cr @ dam 1","ELKR","","Dam","","Proportion of individuals",3,"0.04","Engage with barrier owner"
"e86b513c-3dce-4b4a-a49e-e86e4dac935e","Hartley Cr @ dam 2","ELKR",NULL,"Dam",NULL,"Proportion of individuals",3,"7.83","Engage with barrier owner"
